Iteration,Method,Cache Hit Rate (%),Latency Reduction (%),Cache Usage (KB),Max Cache Size (KB)
26,LFU,98.8,9.665252,28324.0,28325.6
26,Greedy Knapsack,98.8,9.665252,28324.0,28325.6
26,SGD-Based,98.8,9.665252,27033.0,28325.6
27,LRU,100.0,0.0,19302.0,19677.9
27,LFU,100.0,0.0,15585.0,19677.9
27,Greedy Knapsack,100.0,0.0,15585.0,19677.9
27,SGD-Based,100.0,0.0,19302.0,19677.9
28,LRU,99.2,7.648631,26392.0,30023.4
28,LFU,100.0,0.0,26614.0,30023.4
28,Greedy Knapsack,100.0,0.0,26614.0,30023.4
28,SGD-Based,99.2,7.648631,26392.0,30023.4
29,LRU,99.6,2.98465,27146.0,35917.8
29,LFU,99.6,2.98465,27146.0,35917.8
29,Greedy Knapsack,99.6,2.98465,27146.0,35917.8
29,SGD-Based,99.6,2.98465,27146.0,35917.8
30,LRU,98.8,9.65452,25617.0,26944.1
30,LFU,99.2,7.193564,15398.0,26944.1
30,Greedy Knapsack,99.2,7.193564,15398.0,26944.1
30,SGD-Based,98.8,9.65452,25617.0,26944.1
31,LRU,98.8,12.026066,34584.0,35482.3
31,LFU,98.8,12.026066,34584.0,35482.3
31,Greedy Knapsack,98.8,12.026066,34584.0,35482.3
31,SGD-Based,98.8,12.026066,34584.0,35482.3
32,LRU,100.0,0.0,21962.0,25316.8
32,LFU,100.0,0.0,21962.0,25316.8
32,Greedy Knapsack,100.0,0.0,21962.0,25316.8
32,SGD-Based,100.0,0.0,21962.0,25316.8
33,LRU,92.8,8.48249,30685.0,30688.4
33,LFU,99.2,5.162127,29121.0,30688.4
33,Greedy Knapsack,99.2,5.162127,29121.0,30688.4
33,SGD-Based,92.8,8.48249,30685.0,30688.4
34,LRU,99.2,6.155633,26547.0,28368.4
34,LFU,99.2,6.155633,26547.0,28368.4
34,Greedy Knapsack,99.2,6.155633,26547.0,28368.4
34,SGD-Based,99.2,6.155633,26547.0,28368.4
35,LRU,98.8,14.928058,13870.0,26161.4
35,LFU,98.0,10.041966,26160.0,26161.4
35,Greedy Knapsack,98.8,14.928058,13870.0,26161.4
35,SGD-Based,98.8,14.928058,13870.0,26161.4
36,LRU,88.8,8.014462,23634.0,23636.3
36,LFU,99.6,1.777644,23634.0,23636.3
36,Greedy Knapsack,99.6,5.543839,23632.0,23636.3
36,SGD-Based,88.8,8.014462,23634.0,23636.3
37,LRU,99.2,5.622271,27394.0,31488.9
37,LFU,99.2,5.622271,31487.0,31488.9
37,Greedy Knapsack,99.2,5.622271,31487.0,31488.9
37,SGD-Based,99.2,5.622271,27394.0,31488.9
38,LRU,99.2,7.631902,23208.0,26299.2
38,LFU,99.2,7.631902,23208.0,26299.2
38,Greedy Knapsack,99.2,7.631902,23208.0,26299.2
38,SGD-Based,99.2,7.631902,23208.0,26299.2
39,LRU,99.2,7.539375,29660.0,30799.0
39,LFU,99.2,7.539375,30798.0,30799.0
39,Greedy Knapsack,99.2,7.539375,30798.0,30799.0
39,SGD-Based,99.2,7.539375,29660.0,30799.0
40,LRU,90.4,16.299137,24758.0,24759.7
40,LFU,98.8,9.587728,24757.0,24759.7
40,Greedy Knapsack,98.8,9.587728,24757.0,24759.7
40,SGD-Based,90.4,16.299137,24758.0,24759.7
41,LRU,99.6,2.039452,26305.0,31930.4
41,LFU,99.6,6.519559,31927.0,31930.4
41,Greedy Knapsack,99.6,2.039452,26305.0,31930.4
41,SGD-Based,99.6,2.039452,26305.0,31930.4
42,LRU,99.2,10.546875,16238.0,23926.5
42,LFU,99.2,10.546875,20663.0,23926.5
42,Greedy Knapsack,99.2,10.546875,20663.0,23926.5
42,SGD-Based,99.2,10.546875,16238.0,23926.5
43,LRU,98.8,10.054541,29749.0,31149.8
43,LFU,99.6,3.936448,31148.0,31149.8
43,Greedy Knapsack,99.6,3.936448,31148.0,31149.8
43,SGD-Based,98.8,10.054541,29749.0,31149.8
44,LRU,99.2,6.925881,29307.0,29561.5
44,LFU,99.6,4.799514,21796.0,29561.5
44,Greedy Knapsack,99.6,4.799514,21796.0,29561.5
44,SGD-Based,99.2,6.925881,29307.0,29561.5
45,LRU,94.4,2.363706,22953.0,22954.6
45,LFU,100.0,0.0,22954.0,22954.6
45,Greedy Knapsack,100.0,0.0,22954.0,22954.6
45,SGD-Based,94.4,2.363706,22953.0,22954.6
46,LRU,99.2,8.622719,26496.0,34763.6
46,LFU,99.6,4.208358,28090.0,34763.6
46,Greedy Knapsack,99.6,4.208358,28090.0,34763.6
46,SGD-Based,99.2,8.622719,26496.0,34763.6
47,LRU,99.2,8.497066,20288.0,26004.5
47,LFU,99.6,4.593008,26003.0,26004.5
47,Greedy Knapsack,99.6,4.593008,26003.0,26004.5
47,SGD-Based,99.2,8.497066,20288.0,26004.5
48,LRU,98.8,10.139465,21003.0,22176.2
48,LFU,99.6,2.450057,22176.0,22176.2
48,Greedy Knapsack,99.6,2.450057,22176.0,22176.2
48,SGD-Based,98.8,10.139465,21003.0,22176.2
49,LRU,90.0,7.508834,21053.0,21057.9
49,LFU,100.0,0.0,21057.0,21057.9
49,Greedy Knapsack,100.0,0.0,21057.0,21057.9
49,SGD-Based,90.0,7.508834,21053.0,21057.9
50,LRU,98.8,14.640884,20194.0,21952.1
50,LFU,99.2,10.220994,21952.0,21952.1
50,Greedy Knapsack,99.2,10.220994,21952.0,21952.1
50,SGD-Based,98.8,14.640884,20194.0,21952.1
